Player,Tm,Age,College,Pos,Rnd,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tkl,Def_Int,Sk,target
Chris Gardocki,CHI,21,Clemson,P,3,0.0625,0.4375,2.6875,0,0,0,0,0,0,0,0,0,0,0,16
Kevin Donnalley,HOU,23,North Carolina,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Robert Wilson,TAM,22,Texas A&M,RB,3,0,0,0,0,0,7.5,30.5,0,3.833333333,21.5,0.5,0,0,0,6
Chuck Webb,GNB,21,Tennessee,FB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Darryl Wren,BUF,24,Pittsburg St.,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,4
Ed McCaffrey,NYG,23,Stanford,WR,3,0,0,0,0,0,0.230769231,1.615384615,0,43.46153846,570.9230769,4.230769231,0,0,0,13
Scott Zolak,NWE,23,Maryland,QB,4,13.77777778,27.55555556,146,0.888888889,0.777777778,4.222222222,9,0,0,0,0,0,0,0,9
Pio Sagapolutele,CLE,21,San Diego St.,DT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Dexter Davis,PHO,21,Clemson,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,5
Moe Gardner,ATL,23,Illinois,DT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,6
Sammy Walker,PIT,22,Texas Tech,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Derek Russell,DEN,22,Arkansas,WR,4,0,0,0,0,0,0.142857143,0.857142857,0,24.57142857,343,1.142857143,0,0,0,7
Yancey Thigpen,SDG,22,Winston-Salem St.,WR,4,0,0,0,0,0,0.2,0.4,0,31.3,508.1,3,0,0,0,10
Kevin Scott,DET,22,Stanford,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,3
Randy Baldwin,MIN,24,Mississippi,RB,4,0,0,0,0,0,12.33333333,38.5,0,1,8.333333333,0.166666667,0,0,0,6
Tony Covington,TAM,23,Virginia,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,5
Mark Gunn,NYJ,23,Pittsburgh,DT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,6
Mitch Donahue,SFO,23,Wyoming,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mark Vander Poel,IND,23,Colorado,T,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Curvin Richards,DAL,22,Pittsburgh,RB,4,0,0,0,0,0,18.33333333,60.33333333,0.333333333,1,2.666666667,0,0,0,0,3
John Kasay,SEA,21,Georgia,K,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Donald Hollas,CIN,23,Rice,QB,4,25.25,46.875,299.875,1.625,2.625,7.625,36.875,0.125,0,0,0,0,0,0,8
Rocket Ismail,RAI,21,Notre Dame,WR,4,0,0,0,0,0,5.272727273,38.45454545,0.181818182,33,481.3636364,2.545454545,0,0,0,11
David Rocker,HOU,22,Auburn,DT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,4
Marcus Robertson,HOU,21,Iowa St.,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.125,12
Adrian Cooper,PIT,23,Oklahoma,TE,4,0,0,0,0,0,0,0,0,14.5,172.8333333,0.833333333,0,0,0,6
William Thomas,PHI,23,Texas A&M,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,2.454545455,3.363636364,11
Bill Musgrave,DAL,23,Oregon,QB,4,7.166666667,11.5,67,0.166666667,0.333333333,3.166666667,-1.833333333,0,0,0,0,0,0,0,6
Robert Bailey,RAM,23,Miami (FL),DB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0.454545455,11
Tony Hill,DAL,22,Tenn-Chattanooga,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rob Carpenter,CIN,23,Syracuse,WR,4,0,0.2,0,0,0,0.2,0.4,0,10.2,121.4,0.2,0,0,0,5
Clarence Jones,NYG,23,Maryland,T,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Jon Vaughn,NWE,21,Michigan,RB,5,0.25,0.5,3.25,0.25,0,51.75,211.5,1,5.75,44.5,0.25,0,0,0,4
Bryan Cox,MIA,23,West. Illinois,LB,5,0,0,0,0,0,0,0,0,0.083333333,0.583333333,0,0,0.333333333,4.291666667,12
Greg Lewis,DEN,22,Washington,RB,5,0,0.5,0,0,0,86,322,4,3,19.5,0,0,0,0,2
Robert Young,RAM,22,Mississippi St.,DE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.416666667,6
Scott Conover,DET,23,Purdue,T,5,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,6
Chris Thome,MIN,22,Minnesota,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gene Williams,MIA,22,Iowa St.,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Merton Hanks,SFO,23,Iowa,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,3.666666667,0.333333333,9
Duane Young,SDG,23,Michigan St.,TE,5,0,0,0,0,0,0,0,0,4.75,50.625,0.375,0,0,0,8
Ben Coates,NWE,22,Livingstone,TE,5,0,0,0,0,0,0.3,-0.4,0,49.9,555.5,5,0,0,0,10
Kerry Cash,IND,22,Texas,TE,5,0,0,0,0,0,0,0,0,22,237.8333333,1.5,0,0,0,6
Reggie Jones,NOR,22,Memphis,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,4
Floyd Fields,SDG,22,Arizona St.,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,3
Gary Wellman,HOU,24,USC,WR,5,0,0,0,0,0,0.75,0.75,0,10.25,135.5,0.25,0,0,0,4
Mike Arthur,CIN,23,Texas A&M,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Craig Erickson,PHI,22,Miami (FL),QB,5,84.42857143,156,1089.285714,5.857142857,5.428571429,11,28.71428571,0.142857143,0,0,0,0,0,0,7
Darrick Brownlow,DAL,22,Illinois,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
